,file,speaker,sex,age,nationality,level,code,type,ref,ans,rec,count,C,S,I,D,error,per
2534,0261192,1100,F,95,Spanish,B,RP002,P,오늘은 한국어 수업이 있어요 수업은 오전 아홉 시에 시작해요 집에서 학교까지 삼십 분이 걸려요 일곱 시에 일어나서 아침을 먹었어요 여덟 시에 집에서 나갔어요 지하철역에 도착했어요 그런데 지갑이 없었어요 다시 집에 갔어요 책상 위에 지갑이 있었어요 지하철역까지 뛰어서 갔어요 학교에 여덟 시 오십 오 분에 도착했어요 수업에 안 늦었지만 정말 힘들었어요,O N EU R EU N H A N G U G EO S U EO B I I SS EO iO S U EO B EU N O J EO N A O p S I E S I J A Kh E iO J I B E S EO H A k GG iO GG A J I S A M S I p B U N I G EO L L iEO iO I L G O p S I E I R EO N A S EO A CHh I M EU L M EO G EO SS EO iO iEO D EO L B S I E J I B E S EO N A G A SS EO iO J I A CHh EO R iEO G E D O CHh A Kh E SS EO iO G EU R EO N D E J I G A B I EO p SS EO SS EO iO D A S I J I B E G A SS EO iO CHh E k SS A NG UI E J I G A B I I SS EO SS EO iO J I A CHh EO R iEO k GG A J I DD UI EO S EO G A SS EO iO H A k GG iO E iEO D EO L B S I O S I M O B U N E D O CHh A Kh E SS EO iO S U EO B E A N N EU J EO t JJ I M A N J EO NG M A L H I M D EU R EO SS EO iO,O N EU R EU N H A N G U G EO S U EO B I I SS EO iO S U EO B U N O J EO N A O p S I E S I J A Kh E iO J I B E S EO H A GG iO GG A J I S A M S I p B U N I G EO L L iEO iO I G O p S I E I R EO N A S EO A CHh I M E M EO G EO SS EO iEO D EO L B S I E J I B E S EO N A G A SS iO J I A CHh EO R iEO G E D O CHh A Kh E SS EO iO G EU R EO N D E J I G A B I EO p SS EO SS EO iO D A S I J I B E G A S EO iO J E k SS A N OE J I G A B I I SS EO SS EO iO J I A CHh EO iEO k GG A J I D OE EO S EO G A EO iO H A k GG iO E iEO D EO L B S I O p S I B O B EO N E D O CHh A Kh E SS EO iO S U EO B E A N EU J EO t JJ I M A N J EO NG M A L H I M D EU R EO SS EO iO,"Counter({'C': 263, 'S': 10, 'D': 9, 'I': 1})",263,10,1,9,"substitution of < EU > to < U >, deletion of < k >, deletion of < L >, deletion of < EU >, substitution of < L > to < E >, deletion of < iO >, deletion of < EO >, substitution of < SS > to < S >, substitution of < CHh > to < J >, deletion of < NG >, substitution of < UI > to < N >, substitution of < E > to < OE >, deletion of < R >, substitution of < DD > to < D >, substitution of < UI > to < OE >, deletion of < SS >, insertion of < p >, substitution of < M > to < B >, substitution of < U > to < EO >, deletion of < N >",0.044707429322813935
2535,0261001,1100,F,95,Spanish,B,RS002,S,여기 비빔밥 한 그릇 갖다 주세요,iEO G I B I B I M B A p H A N G EU R EU S G A t DD A J U S E iO,iEO G I B I B I M B A H A N G EU R EU S G A t DD A J U S E iO,"Counter({'C': 28, 'D': 1})",28,0,0,1,deletion of < p >,0.026490066225165563
2536,0261009,1100,F,95,Spanish,B,RS007,S,금요일이 좋아요 일요일이 좋아요,G EU M iO I R I J O A iO I R iO I R I J O A iO,G EU M iO I J O A iO I R iO I J O A iO,"Counter({'C': 17, 'D': 4})",17,0,0,4,"deletion of < I >, deletion of < R >, deletion of < I >, deletion of < R >",0.14545454545454545
2537,0261011,1100,F,95,Spanish,B,RS008,S,일 년 전 우리가 한국말을 어떻게 했는지 생각 나세요,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H E N N EU N J I S E NG G A k N A S E iO,I L N iEO N J EO N U R I G A H A N G U NG M A R EU L EO DD EO Kh E H H E N N EU N J I S E NG G A k N A S E iO,"Counter({'C': 48, 'I': 1})",48,0,1,0,insertion of < H >,0.01556420233463035
2538,0261021,1100,F,95,Spanish,B,RS012,S,벽에 잘 붙어 있도록 잘 붙이세요,B iEO G E J A L B U Th EO I t DD O R O k J A L B U Th I S E iO,B iEO iEO G E J A L B U Th EO I t DD O R O k J A L B U Th I S E iO,"Counter({'C': 28, 'I': 1})",28,0,1,0,insertion of < iEO >,0.03896103896103896
2539,0261145,1100,F,95,Spanish,B,RS072,S,수업 아직 안 끝났을걸,S U EO M A J I k A N GG EU N N A SS EU L G EO L,S U EO M N A J I k A N GG EU N N A SS EU L G EO L,"Counter({'C': 21, 'I': 1})",21,0,1,0,insertion of < N >,0.034482758620689655
3411,0391585,1440,M,97,Spanish,A,RP003,P,의사소통 과정 중에서 말하기와 쓰기 같은 표현 기능이 더 중요할까 듣기와 읽기 같은 기능이 더 중요할까 나는 이해 영역이 더 중요하고 특히 듣기가 기본이라고 생각한다 다른 이의 말을 듣고 그 말을 이해해야 의사소통을 계속할 수 있기 때문이다 따라서 진정한 의사소통은 듣기에서부터 시작한다고 주장하고 싶다,euI S A S O Th O NG G oA J EO NG J U NG E S EO M A R H A G I oA SS EU G I G A Th EU N Ph iO iEO N G I N EU NG I D EO J U NG iO A L GG A D EU t GG I oA I k GG I G A Th EU N G I N EU NG I D EO J U NG iO A L GG A N A N EU N I E iEO NG iEO G I D EO J U NG iO A G O Th EU Kh I D EU t GG I G A G I B O N I R A G O S E NG G A Kh A N D A D A R EU N I euI M A R EU L D EU t GG O G EU M A R EU L I E E iA euI S A S O Th O NG EU L G iE S O Kh A L S U I t GG I D E M U N I D A D A R A S EO J I N J EO NG H A N euI S A S O Th O NG EU N D EU t GG I E S EO B U Th EO S I J A Kh A N D A G O J U J A NG H A G O S I p DD A,euI S A S O Th O NG G oA J EO NG J U NG E S EO M A R H A G I oA SS EU D I G A Th EU N iEO iEO N G I N EU NG I EO J U NG iO H A L GG A Th EU Kh I oA I N G I G A Th EU N G I N EU NG I D EO J U iO H A L GG A D A N EU N I E euI iEO N iEO G I D EO J U NG iO A G O Th EU Kh I D EU GG I G A G I B EO N I R A G O S E NG G A Kh A N D A D A R EU N I euI M oA R EU L D EU t GG O G EU M A R EU L I E H E iA euI S A S O Th O NG EU L G iE S O Kh A L S U I t GG I D E M U N I D A D A R A S EO J E NG J U NG H A N euI S A S O Th O NG EU N Th EU Kh I S EO B U Th EO S I J A A D A G O J U J A NG H A G O S I p DD A,"Counter({'C': 235, 'S': 17, 'D': 8, 'I': 3})",235,17,3,8,"substitution of < G > to < D >, deletion of < Ph >, substitution of < iO > to < iEO >, deletion of < D >, insertion of < H >, substitution of < D > to < Th >, deletion of < t >, substitution of < GG > to < Kh >, substitution of < k > to < N >, substitution of < GG > to < G >, substitution of < NG > to < iO >, substitution of < iO > to < H >, substitution of < N > to < D >, insertion of < euI >, substitution of < NG > to < N >, deletion of < t >, substitution of < O > to < EO >, substitution of < A > to < oA >, insertion of < H >, substitution of < I > to < E >, substitution of < N > to < NG >, substitution of < EO > to < U >, substitution of < D > to < Th >, deletion of < t >, substitution of < GG > to < Kh >, deletion of < E >, deletion of < Kh >, deletion of < N >",0.06086341118188252
3412,0391662,1440,M,97,Spanish,A,RP004,P,나는 아름다운 색을 사랑한다 예전 우리 유치원 선생님이 주신 색종이 같은 빨간색 보라색 자주색 녹색 이런 색깔을 나는 좋아한다 나는 우리나라 가을 하늘을 사랑한다 나는 오래된 가구의 색을 좋아한다 늙어가는 학자의 희끗희끗한 머리카락을 좋아한다 나는 이른 아침의 새 소리를 좋아하며 봄 시냇물 흐르는 소리를 즐긴다 갈대에 부는 바람 소리를 좋아하며 바다의 파도 소리를 들으면 아직도 가슴이 뛴다,N A N EU N A R EU M D A U N S E G EU L S A R A NG H A N D A iE J EO N U R I iU CHh I uEO N S EO N S E NG N I M I J U S I N S E k JJ O NG I G A Th EU N BB A L G A N S E k B O R A S E k J A J U S E k N O k SS E k I R EO N S E k GG A R EU L N A N EU N J O A A N D A N A N EU N U R I N A R A G A EU L H A N EU R EU L S A R A NG H A N D A N A N EU N O R E D OE N G A G U euI S E G EU L J O A A N D A N EU L G EO G A N EU N H A k JJ A euI H euI GG EU Th euI GG EU Th A N M EO R I Kh A R A G EU R J O A A N D A N A N EU N I R EU N A CHh I M euI S E S O R I R EU L J O A A M iEO B O M S I N E N M U L H EU R EU N EU N S O R I R EU L J EU L G I N D A G A L D E E B U N EU N B A R A M S O R I R EU L J O A A M iEO B A D A euI Ph A D O S O R I R EU L D EU R EU M iEO N A J I k DD O G A S EU M I DD UI N D A,N A N EU N A R EU M D A U N S E G EU L S A R A NG A N D A iE J EO N O R I iU S I uEO N J EO N S E N I M I J J I N S E k J EO NG I G A Th EU N BB A L G A N S E k BB O R A N S E k A J U S E k N O k SS E k I R EO N S E NG S E k GG A R EU L N A N EU N J O A A N D A N A N EU N U R I N A R A GG A EU L H A N EU R EU L S A R A H A N D A N A N EU N O R E B O M G A GG euI S E G EU L J O A A N D A N EU L G O G A N EU N H A L JJ A euI EU G EU EU G EU A N M O R I GG A R A G EU L J O A N D A N A N EU N I R EO N A CHh I M EU S E S EO R I R EU L J O A A M iEO B O NG CHh I N E M O L H EU R EU N EU N S O R I R EU L J EU L G I N D A G A L D E euI B O N EU N S A BB A R A M S O R I R EU L J O A A M iEO B A D A euI B A DD O S EO R I R EU L DD EU R D EU R EU M iEO N A CHh I k DD O G A S EU M I D OE N D A,"Counter({'C': 310, 'S': 36, 'D': 11, 'I': 9})",310,36,9,11,"deletion of < H >, substitution of < U > to < O >, substitution of < CHh > to < S >, substitution of < S > to < J >, deletion of < NG >, deletion of < U >, substitution of < S > to < J >, substitution of < JJ > to < J >, substitution of < O > to < EO >, substitution of < B > to < BB >, insertion of < N >, deletion of < J >, insertion of < S >, insertion of < E >, insertion of < NG >, substitution of < G > to < GG >, deletion of < NG >, substitution of < D > to < B >, substitution of < OE > to < O >, substitution of < N > to < M >, deletion of < G >, substitution of < U > to < GG >, substitution of < EO > to < O >, substitution of < k > to < L >, deletion of < H >, substitution of < euI > to < EU >, substitution of < GG > to < G >, deletion of < Th >, substitution of < euI > to < EU >, substitution of < GG > to < G >, deletion of < Th >, substitution of < EO > to < O >, substitution of < Kh > to < GG >, substitution of < R > to < L >, deletion of < A >, substitution of < EU > to < EO >, substitution of < euI > to < EU >, substitution of < O > to < EO >, substitution of < M > to < NG >, substitution of < S > to < CHh >, deletion of < N >, substitution of < U > to < O >, substitution of < E > to < euI >, substitution of < U > to < O >, insertion of < S >, insertion of < A >, substitution of < B > to < BB >, substitution of < Ph > to < B >, substitution of < D > to < DD >, substitution of < O > to < EO >, insertion of < DD >, insertion of < EU >, insertion of < R >, substitution of < J > to < CHh >, substitution of < DD > to < D >, substitution of < UI > to < OE >",0.08808290155440414
3413,0390378,1440,M,97,Spanish,A,RS034,S,새로 생긴 식당에 가 봤는데 분위기가 아주 좋던데요,S E R O S E NG G I N S I k DD A NG E G A B oA N N EU N D E B U N UI G I G A A J U J O Th EO N D E iO,S E R O S I k DD A NG E,"Counter({'D': 35, 'C': 11})",11,0,0,35,"deletion of < S >, deletion of < E >, deletion of < NG >, deletion of < G >, deletion of < I >, deletion of < N >, deletion of < E >, deletion of < G >, deletion of < A >, deletion of < B >, deletion of < oA >, deletion of < N >, deletion of < N >, deletion of < EU >, deletion of < N >, deletion of < D >, deletion of < E >, deletion of < B >, deletion of < U >, deletion of < N >, deletion of < UI >, deletion of < G >, deletion of < I >, deletion of < G >, deletion of < A >, deletion of < A >, deletion of < J >, deletion of < U >, deletion of < J >, deletion of < O >, deletion of < Th >, deletion of < EO >, deletion of < N >, deletion of < D >, deletion of < iO >",0.6192468619246861
3414,0390727,1440,M,97,Spanish,A,RS044,S,권력과 공권력의 차이점이 뭔지 아세요,G uEO N N iEO k GG oA G O NG G uEO N N iEO G euI CHh A I J EO M I M uEO N J I A S E iO,G uEO NG N uEO N iEO k GG oA G O NG G O G N iEO G euI CHh A I J EO M I M uEO N N J I A S E iO,"Counter({'C': 32, 'I': 3, 'S': 2})",32,2,3,0,"insertion of < NG >, insertion of < uEO >, substitution of < uEO > to < O >, substitution of < N > to < G >, insertion of < N >",0.0966183574879227
3415,0390781,1440,M,97,Spanish,A,RS045,S,뒷일은 나중에 생각하고 급한 불부터 끕시다,D UI S I R EU N N A J U NG E S E NG G A Kh A G O G EU Ph A N B U L B U Th EO G EU p SS I D A,D UI S I R EU N N A J U N E S E NG G A Kh A G O G EU Ph A N B U L B U Th EO G EU p SS I D A,"Counter({'C': 40, 'S': 1})",40,1,0,0,substitution of < NG > to < N >,0.009259259259259259
3416,0390901,1440,M,97,Spanish,A,RS047,S,얼굴 보니 너 무슨 안 좋은 일 있구나,EO L G U L B O N I N EO M U S EU N A N J O EU N I L I t GG U N A,EO L G U L B O N I N EO U S EU N A N J O EU N I L I t GG U N A,"Counter({'C': 29, 'D': 1})",29,0,0,1,deletion of < M >,0.025806451612903226
3417,0391074,1440,M,97,Spanish,A,RS051,S,창문이 열렸네요 닫아 주세요,CHh A NG M U N I iEO L L iEO N N E iO D A D A J U S E iO,CHh A NG M U N I iEO iEO L L iEO N N E iO D A D A J U S E iO,"Counter({'C': 24, 'I': 1})",24,0,1,0,insertion of < iEO >,0.04411764705882353
3418,0379696,1440,M,97,Spanish,A,RW004,W,싱싱하다,S I NG S I NG H A D A,J I p JJ I M M A D A,"Counter({'S': 5, 'C': 5})",5,5,0,0,"substitution of < S > to < J >, substitution of < NG > to < p >, substitution of < S > to < JJ >, substitution of < NG > to < M >, substitution of < H > to < M >",0.20754716981132076
3419,0379940,1440,M,97,Spanish,A,RW017,W,풀,Ph U L,Ph O N,"Counter({'S': 2, 'C': 1})",1,2,0,0,"substitution of < U > to < O >, substitution of < L > to < N >",0.125
3420,0380580,1440,M,97,Spanish,A,RW072,W,회의,H OE euI,H OE I,"Counter({'C': 2, 'S': 1})",2,1,0,0,substitution of < euI > to < I >,0.1111111111111111
3421,0380624,1440,M,97,Spanish,A,RW075,W,무늬,M U N euI,M U R euI,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < N > to < R >,0.045454545454545456
3422,0380683,1440,M,97,Spanish,A,RW081,W,상금,S A NG G EU M,S A NG G O M,"Counter({'C': 5, 'S': 1})",5,1,0,0,substitution of < EU > to < O >,0.09375
3423,0380770,1440,M,97,Spanish,A,RW091,W,부엌,B U EO Kh,B U EU Kh,"Counter({'C': 3, 'S': 1})",3,1,0,0,substitution of < EO > to < EU >,0.045454545454545456
3424,0380800,1440,M,97,Spanish,A,RW095,W,무릎,M U R EU p,N O R iEO k,"Counter({'S': 4, 'C': 1})",1,4,0,0,"substitution of < M > to < N >, substitution of < U > to < O >, substitution of < EU > to < iEO >, substitution of < p > to < k >",0.2222222222222222
3425,0381204,1440,M,97,Spanish,A,RW129,W,맥락,M E NG N A k,M E NG A N A k,"Counter({'C': 6, 'I': 1})",6,0,1,0,insertion of < A >,0.1111111111111111
3426,0381212,1440,M,97,Spanish,A,RW130,W,격려,G iEO NG N iEO,G iEO NG N iEO iEO,"Counter({'C': 5, 'I': 1})",5,0,1,0,insertion of < iEO >,0.16216216216216217
3427,0381360,1440,M,97,Spanish,A,RW146,W,근로자,G EU N N O J A,G EU N N O N O J A,"Counter({'C': 7, 'I': 2})",7,0,2,0,"insertion of < N >, insertion of < O >",0.17391304347826086
3438,0395121,1450,F,99,Spanish,A,RP003,P,의사소통 과정 중에서 말하기와 쓰기 같은 표현 기능이 더 중요할까 듣기와 읽기 같은 기능이 더 중요할까 나는 이해 영역이 더 중요하고 특히 듣기가 기본이라고 생각한다 다른 이의 말을 듣고 그 말을 이해해야 의사소통을 계속할 수 있기 때문이다 따라서 진정한 의사소통은 듣기에서부터 시작한다고 주장하고 싶다,euI S A S O Th O NG G oA J EO NG J U NG E S EO M A R H A G I oA SS EU G I G A Th EU N Ph iO iEO N G I N EU NG I D EO J U NG iO A L GG A D EU t GG I oA I k GG I G A Th EU N G I N EU NG I D EO J U NG iO A L GG A N A N EU N I E iEO NG iEO G I D EO J U NG iO A G O Th EU Kh I D EU t GG I G A G I B O N I R A G O S E NG G A Kh A N D A D A R EU N I euI M A R EU L D EU t GG O G EU M A R EU L I E E iA euI S A S O Th O NG EU L G iE S O Kh A L S U I t GG I D E M U N I D A D A R A S EO J I N J EO NG H A N euI S A S O Th O NG EU N D EU t GG I E S EO B U Th EO S I J A Kh A N D A G O J U J A NG H A G O S I p DD A,euI S A S EO Th O N G oA J A N J U NG E S EO M A R H A G I oA SS EU G I G A Th EU N Ph iEO N G A N A NG I D EO J U NG iO A L GG A D EU G I oA I L J I G A Th EU N G A N A NG I EO J U NG iO A L GG A N A N EU N I E EO N iEO NG EU EO J U NG iO A G O D EU Kh I G I G A G I B U I R A G O S E NG G A Kh A D A D A R EU N I euI M A R EU L D EU R O G EU M A R EU L I E E iA euI S A S O Th O NG EU L GG iE S O Kh A L S U I GG I D E M U N I D A D A R S EO J I N J A NG A N euI S A S O Th O NG EU L D EU Kh I E S EO M U Th EO S I J A Kh A D A G O J U J A N A G O S I p DD A,"Counter({'C': 219, 'S': 25, 'D': 16})",219,25,0,16,"substitution of < O > to < EO >, substitution of < NG > to < N >, substitution of < EO > to < A >, substitution of < NG > to < N >, deletion of < iO >, substitution of < I > to < A >, substitution of < EU > to < A >, deletion of < t >, substitution of < GG > to < G >, substitution of < k > to < L >, substitution of < GG > to < J >, substitution of < I > to < A >, substitution of < EU > to < A >, deletion of < D >, substitution of < iEO > to < EO >, substitution of < NG > to < N >, deletion of < G >, substitution of < I > to < NG >, substitution of < D > to < EU >, substitution of < Th > to < D >, deletion of < D >, deletion of < EU >, deletion of < t >, substitution of < GG > to < G >, deletion of < O >, substitution of < N > to < U >, deletion of < N >, deletion of < t >, substitution of < GG > to < R >, substitution of < G > to < GG >, deletion of < t >, deletion of < A >, substitution of < EO > to < A >, deletion of < H >, substitution of < N > to < L >, deletion of < t >, substitution of < GG > to < Kh >, substitution of < B > to < M >, deletion of < N >, deletion of < NG >, substitution of < H > to < N >",0.09363831308077197
3439,0395152,1450,F,99,Spanish,A,RP004,P,나는 아름다운 색을 사랑한다 예전 우리 유치원 선생님이 주신 색종이 같은 빨간색 보라색 자주색 녹색 이런 색깔을 나는 좋아한다 나는 우리나라 가을 하늘을 사랑한다 나는 오래된 가구의 색을 좋아한다 늙어가는 학자의 희끗희끗한 머리카락을 좋아한다 나는 이른 아침의 새 소리를 좋아하며 봄 시냇물 흐르는 소리를 즐긴다 갈대에 부는 바람 소리를 좋아하며 바다의 파도 소리를 들으면 아직도 가슴이 뛴다,N A N EU N A R EU M D A U N S E G EU L S A R A NG H A N D A iE J EO N U R I iU CHh I uEO N S EO N S E NG N I M I J U S I N S E k JJ O NG I G A Th EU N BB A L G A N S E k B O R A S E k J A J U S E k N O k SS E k I R EO N S E k GG A R EU L N A N EU N J O A A N D A N A N EU N U R I N A R A G A EU L H A N EU R EU L S A R A NG H A N D A N A N EU N O R E D OE N G A G U euI S E G EU L J O A A N D A N EU L G EO G A N EU N H A k JJ A euI H euI GG EU Th euI GG EU Th A N M EO R I Kh A R A G EU R J O A A N D A N A N EU N I R EU N A CHh I M euI S E S O R I R EU L J O A A M iEO B O M S I N E N M U L H EU R EU N EU N S O R I R EU L J EU L G I N D A G A L D E E B U N EU N B A R A M S O R I R EU L J O A A M iEO B A D A euI Ph A D O S O R I R EU L D EU R EU M iEO N A J I k DD O G A S EU M I DD UI N D A,N A N EU N A R EU M D A U N S E G EU L S A A NG H A N D A E J EO N U R I J I EO N S EO N S E NG N I M I J U S I N S E k J EO NG I G A DD EU N BB A L G A N S E k B O R A S E k A J EO E k N O SS E I R EO N S E k G A R EU L N A N EU N J O A A N D A N A N EU N U R I N A R A G A H A N EU R EU L S A A NG H A N D A EU N EO R E D OE N G A G euI S E G EU L J O A A N D A N EU EO G N EU N H A L JJ A euI G EU Kh G EU Th A N M EO R I G A R A G EU L J O A D A N N EU N I R EU A CHh I M E S E S EO R I EU L J O A M iEO N B J I euI M EU L H EU R EU N EU N S EO R I EU L J EU L G I N D A G EO L D E B O N EU N B A R A M S EO R I EU L J O A A M iEO N BB A D A euI Ph A R O S EO R R EU L D EU R EU M iEO N A J I DD O G A SS EU M I D EU N D A,"Counter({'C': 292, 'D': 33, 'S': 32, 'I': 1})",292,32,1,33,"deletion of < R >, substitution of < iE > to < E >, deletion of < iU >, substitution of < CHh > to < J >, substitution of < uEO > to < EO >, substitution of < JJ > to < J >, substitution of < O > to < EO >, substitution of < Th > to < DD >, deletion of < J >, deletion of < U >, substitution of < S > to < EO >, deletion of < k >, deletion of < k >, substitution of < GG > to < G >, deletion of < EU >, deletion of < L >, deletion of < R >, deletion of < A >, deletion of < N >, deletion of < N >, substitution of < O > to < EO >, deletion of < U >, deletion of < L >, deletion of < G >, deletion of < A >, substitution of < k > to < L >, deletion of < euI >, deletion of < H >, substitution of < GG > to < G >, deletion of < Th >, substitution of < euI > to < Kh >, substitution of < GG > to < G >, substitution of < Kh > to < G >, substitution of < R > to < L >, deletion of < A >, deletion of < N >, deletion of < A >, deletion of < N >, substitution of < euI > to < E >, substitution of < O > to < EO >, deletion of < R >, deletion of < A >, deletion of < B >, substitution of < O > to < N >, substitution of < M > to < B >, substitution of < S > to < J >, deletion of < N >, deletion of < E >, substitution of < N > to < euI >, substitution of < U > to < EU >, substitution of < O > to < EO >, deletion of < R >, substitution of < A > to < EO >, deletion of < E >, substitution of < U > to < O >, substitution of < O > to < EO >, deletion of < R >, insertion of < N >, substitution of < B > to < BB >, substitution of < D > to < R >, substitution of < O > to < EO >, deletion of < I >, deletion of < k >, substitution of < S > to < SS >, substitution of < DD > to < D >, substitution of < UI > to < EU >",0.11534391534391535
3440,0394464,1450,F,99,Spanish,A,RS040,S,이렇게 감사의 말씀을 전할 수 있을 정도로 성장했습니다,I R EO Kh E G A M S A euI M A L SS EU M EU L J EO N A L S U I SS EU L J EO NG D O R O S EO NG J A NG H E S SS EU M N I D A,I R EO Kh E G A M S A euI M A L SS EU M EU J EO N A L S U I SS EU L J EO NG D O R O S EO NG J A NG H E S SS EU M N I D A,"Counter({'C': 52, 'D': 1})",52,0,0,1,deletion of < L >,0.014184397163120567
3441,0394567,1450,F,99,Spanish,A,RS045,S,뒷일은 나중에 생각하고 급한 불부터 끕시다,D UI S I R EU N N A J U NG E S E NG G A Kh A G O G EU Ph A N B U L B U Th EO G EU p SS I D A,D EU S I R EU N N A J U NG E S E NG G A Kh A G O G EU Ph A N B U L B U Th EO G EU p SS I D A,"Counter({'C': 40, 'S': 1})",40,1,0,0,substitution of < UI > to < EU >,0.009259259259259259
3442,0394607,1450,F,99,Spanish,A,RS047,S,얼굴 보니 너 무슨 안 좋은 일 있구나,EO L G U L B O N I N EO M U S EU N A N J O EU N I L I t GG U N A,EO L G U L B O N I N EO M U S EU EU N A N J O EU N I L I t GG U N A,"Counter({'C': 30, 'I': 1})",30,0,1,0,insertion of < EU >,0.031055900621118012
3443,0394994,1450,F,99,Spanish,A,RS068,S,그것도 옷이라고 입고 다니니,G EU G EO t DD O O S I R A G O I p GG O D A N I N I,G EU G EO t DD O O S I R A G O I p GG O D A D N N I,"Counter({'C': 22, 'S': 2})",22,2,0,0,"substitution of < N > to < D >, substitution of < I > to < N >",0.06201550387596899
3444,0393028,1450,F,99,Spanish,A,RW017,W,풀,Ph U L,BB O R I,"Counter({'S': 3, 'I': 1})",0,3,1,0,"insertion of < BB >, substitution of < Ph > to < O >, substitution of < U > to < R >, substitution of < L > to < I >",0.6875
3445,0393089,1450,F,99,Spanish,A,RW031,W,구하다,G U A D A,Ph oA D A,"Counter({'S': 2, 'C': 2, 'D': 1})",2,2,0,1,"deletion of < G >, substitution of < U > to < Ph >, substitution of < A > to < oA >",0.35714285714285715
5085,0466155,1928,F,2,Spanish,A,RP003,P,의사소통 과정 중에서 말하기와 쓰기 같은 표현 기능이 더 중요할까 듣기와 읽기 같은 기능이 더 중요할까 나는 이해 영역이 더 중요하고 특히 듣기가 기본이라고 생각한다 다른 이의 말을 듣고 그 말을 이해해야 의사소통을 계속할 수 있기 때문이다 따라서 진정한 의사소통은 듣기에서부터 시작한다고 주장하고 싶다,euI S A S O Th O NG G oA J EO NG J U NG E S EO M A R H A G I oA SS EU G I G A Th EU N Ph iO iEO N G I N EU NG I D EO J U NG iO A L GG A D EU t GG I oA I k GG I G A Th EU N G I N EU NG I D EO J U NG iO A L GG A N A N EU N I E iEO NG iEO G I D EO J U NG iO A G O Th EU Kh I D EU t GG I G A G I B O N I R A G O S E NG G A Kh A N D A D A R EU N I euI M A R EU L D EU t GG O G EU M A R EU L I E E iA euI S A S O Th O NG EU L G iE S O Kh A L S U I t GG I D E M U N I D A D A R A S EO J I N J EO NG H A N euI S A S O Th O NG EU N D EU t GG I E S EO B U Th EO S I J A Kh A N D A G O J U J A NG H A G O S I p DD A,euI S A S EO Th O N H oA J A N J U NG E S EO M A R H A G I oA SS EU G I G A Th EU N Ph iO iEO I N EU I J U S EU N iO A L A EO G I oA I G I Kh A Th EU N G I N EU NG I D EO J U NG iO A L GG A A N EU N I E EO N G EO Kh I R EO J U NG iO A G O Th EU Kh I D EU G I G A G I B U N I R A G O S E NG G A Kh A N DD A D A R EU N I E M A N EU L D EU G O G O M A R EU L I E E iA I S A S EO Th O NG EU L G iE S O Kh A L S U I t GG I D E M EO N I D A D A R A S EO J I N J A N A N euI S A S O Th O NG EU L EO GG I E S EO U Th EO S I J A D A N D A G O J U J A NG H A G O S I p DD A,"Counter({'C': 212, 'S': 34, 'D': 14, 'I': 1})",212,34,1,14,"substitution of < O > to < EO >, substitution of < NG > to < N >, substitution of < G > to < H >, substitution of < EO > to < A >, substitution of < NG > to < N >, deletion of < N >, deletion of < G >, deletion of < NG >, substitution of < D > to < J >, substitution of < EO > to < U >, substitution of < J > to < S >, substitution of < U > to < EU >, substitution of < NG > to < N >, deletion of < GG >, deletion of < D >, deletion of < EU >, substitution of < t > to < EO >, substitution of < GG > to < G >, deletion of < k >, substitution of < GG > to < G >, substitution of < G > to < Kh >, deletion of < N >, insertion of < EO >, substitution of < iEO > to < N >, substitution of < NG > to < G >, substitution of < iEO > to < EO >, substitution of < G > to < Kh >, substitution of < D > to < R >, deletion of < t >, substitution of < GG > to < G >, substitution of < O > to < U >, substitution of < D > to < DD >, substitution of < euI > to < E >, substitution of < R > to < N >, deletion of < t >, substitution of < GG > to < G >, substitution of < EU > to < O >, substitution of < euI > to < I >, substitution of < O > to < EO >, substitution of < U > to < EO >, deletion of < EO >, substitution of < NG > to < A >, substitution of < H > to < N >, deletion of < N >, deletion of < D >, substitution of < EU > to < L >, substitution of < t > to < EO >, deletion of < B >, substitution of < Kh > to < D >",0.11448763250883393
